Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, EN1",SW_Push_1P1T_XKB_TS-1187A,2,SW_Push,C318884
"C1, C2, C3, C4, C6",0805,5,.1uF,C28233
C5,0805,1,10uF,C15850
CBOOT1,0402,1,100nF,C1525
"CIN1, CIN2, CIN3",0603,3,1uF,C15849
CINX1,0603,1,100nF,C14663
"COUT1, COUT2",0805,2,10uF,C440198
"D1, D2, D3, D4, D5",LED_XTEAWT-00-0000-000000F51,5,LED_Pad,
"FAN1, FAN2",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,2,Conn_01x02,C158012
J2,USB_Micro-B_Amphenol_10104110_Horizontal,1,USB_B_Micro,C428496
J3,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,C7430362
L1,L_SXN_SMDRI127,1,330uH,C10152
L3,L_Vishay_IHLP-2020,1,10uH,C844983
MISTER1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02,C5251182
PS1,LDD-700LS-SOP254P1280X930-16N,1,LDD-700LS,C17353291
"Q1, Q3",SOT-23-3,2,Q_NMOS_GDS,C7420571
R1,0603,1,470,C23179
"R10, R11, R12, R2, R3, R5, R7, R8, R9",0603,9,10k,C25804
R13,0603,1,1k,C21190
"R15, R4",0603,2,4.7k,C23162
R6,0603,1,10,C22859
RFBB1,0603,1,22.1k,C844504
RFBT1,0603,1,69.8k,C137689
STATUS_LED1,0805,1,LED,C2297
U1,MODULE_ESP32-C3-WROOM-02-H4,1,ESP32-C3-WROOM-02-N4,C2934560
U4,Sensirion_DFN-8-1EP_2.5x2.5mm_P0.5mm_EP1.1x1.7mm,1,SHT30-DIS,C77361
U5,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,1,IX4427N,C171845
U6,SOT-23-6,1,LMR54406DBVR,C5219316
