Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,120.6,-151.75,0.0,top
C1,52.05,-128.0,0.0,top
C2,65.225,-133.0,0.0,top
C3,75.75,-45.75,128.75,top
C4,139.5,-62.0,46.0,bottom
C5,112.775,-161.75,0.0,top
C6,112.75,-164.25,0.0,top
CBOOT1,154.75,-115.25,270.0,top
CIN1,159.425001,-110.25,0.0,top
CIN2,159.425001,-108.5,0.0,top
CIN3,159.425,-106.75,0.0,top
CINX1,159.425001,-112.099998,0.0,top
COUT1,151.699999,-120.0,0.0,top
COUT2,151.699999,-117.5,0.0,top
D1,111.955,-43.757,12.0,bottom
D2,157.185,-93.99,84.0,bottom
D3,123.387,-152.529,156.0,bottom
D4,57.269,-138.475,228.0,bottom
D5,50.204,-71.25,300.0,bottom
EN1,120.6,-162.25,180.0,top
FAN1,148.73006,-94.508762,275.0,top
FAN2,51.269939,-105.491238,95.0,top
J2,83.912,-164.525,346.0,top
J3,53.066858,-147.302131,136.0,top
L1,45.75,-119.341,90.0,top
L3,151.699998,-110.0,180.0,top
MISTER1,56.277091,-124.18828,119.0,top
PS1,64.009,-55.157,308.75,top
Q1,42.1125,-104.8,0.0,top
Q3,43.3625,-128.3,0.0,top
R1,134.75,-155.5,180.0,top
R10,126.5,-151.8375,270.0,top
R11,111.5,-152.5,180.0,top
R12,87.8375,-158.25,180.0,top
R13,126.75,-161.8375,270.0,top
R15,140.843602,-64.633876,44.0,top
R2,42.3375,-107.5,180.0,top
R3,70.5,-139.9525,270.0,top
R4,139.5,-61.0,44.0,top
R5,42.75,-131.25,180.0,top
R6,46.6625,-131.25,180.0,top
R7,70.5,-136.4525,270.0,top
R8,75.25,-58.0,38.75,top
R9,113.5875,-159.25,180.0,top
RFBB1,158.15,-119.0,180.0,top
RFBT1,159.0,-121.575,90.0,top
STATUS_LED1,130.6875,-155.5,180.0,top
U1,100.0,-155.4,180.0,top
U4,141.362,-60.057,46.0,bottom
U5,65.525,-137.905,90.0,top
U6,157.47,-115.3875,270.0,top
